idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
23661,10.527,16.997,49.307,-2129490.000,2129449.307,3.114,3.178,3.995,507.396,0.924,0.584
23662,10.966,17.764,49.307,-2129580.000,2129539.307,3.239,3.178,3.087,490.459,1.004,0.608
23663,11.404,16.448,49.309,-2129670.000,2129629.309,3.359,3.359,4.177,472.861,0.964,0.669
23664,11.514,17.216,49.309,-2129760.000,2129719.309,3.475,3.341,2.724,454.625,1.044,0.671
23665,11.624,14.036,49.311,-2129850.000,2129809.311,3.587,3.704,5.993,435.774,0.879,0.752
23666,11.733,15.242,49.311,-2129940.000,2129899.311,3.693,3.632,2.905,416.333,0.982,0.744
23667,11.953,14.255,49.313,-2130030.000,2129989.313,3.795,3.759,4.721,396.329,0.944,0.784
23668,12.172,13.049,49.314,-2130120.000,2130079.314,3.891,3.904,4.903,375.785,0.886,0.829
23669,12.172,12.391,49.315,-2130210.000,2130169.315,3.982,3.995,3.813,354.731,0.861,0.849
23670,11.953,11.514,49.316,-2130300.000,2130259.316,4.068,4.086,4.540,333.193,0.818,0.852
23671,11.843,10.308,49.317,-2130390.000,2130349.317,4.149,4.213,5.266,311.201,0.746,0.871
23672,11.733,7.895,49.319,-2130480.000,2130439.319,4.224,4.449,5.448,288.782,0.582,0.911
23673,11.404,6.579,49.320,-2130570.000,2130529.320,4.293,4.576,5.448,265.966,0.493,0.911
23674,11.295,4.715,49.321,-2130660.000,2130619.321,4.357,4.740,4.358,242.785,0.359,0.934
23675,10.966,4.715,49.322,-2130750.000,2130709.322,4.415,4.721,5.811,219.267,0.363,0.904
23676,10.308,3.509,49.323,-2130840.000,2130799.323,4.467,4.812,3.813,195.446,0.274,0.866
23677,9.759,1.097,49.325,-2130930.000,2130889.325,4.512,5.012,6.719,171.352,0.086,0.854
23678,9.540,-0.110,49.327,-2131020.000,2130979.327,4.552,5.103,5.811,147.017,-0.009,0.850
23679,8.663,-3.070,49.328,-2131110.000,2131069.328,4.586,5.339,6.174,122.474,-0.246,0.807
23680,7.895,-3.838,49.329,-2131200.000,2131159.329,4.613,5.357,4.721,97.756,-0.309,0.738
23681,7.237,-5.483,49.331,-2131290.000,2131249.331,4.635,5.466,6.356,72.896,-0.444,0.690
23682,6.470,-7.018,49.332,-2131380.000,2131339.332,4.650,5.539,6.174,47.926,-0.570,0.625
23683,5.592,-7.128,49.334,-2131470.000,2131429.334,4.659,5.484,4.903,22.882,-0.580,0.535
23684,4.715,-9.650,49.335,-2131560.000,2131519.335,4.661,5.648,5.993,-2.205,-0.785,0.465
23685,3.838,-8.882,49.336,-2131650.000,2131609.336,4.658,5.484,4.177,-27.299,-0.722,0.367
