idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
38434,-0.439,-178.849,-0.004,0.006,-0.010,-0.736,0.000,5.493,-5217.708,2.298,-0.000
38435,-0.219,-182.687,-0.002,0.006,-0.008,-2.009,2.747,8.240,-4916.811,6.406,-0.011
38436,-0.110,-162.730,-0.002,0.005,-0.008,-3.173,1.373,-0.000,-4349.215,9.012,-0.003
38437,0.000,-147.159,-0.002,0.004,-0.007,-4.165,3.777,1.373,-3545.484,10.698,0.000
38438,0.000,-118.648,0.000,0.003,-0.004,-4.931,4.463,8.240,-2549.031,10.212,0.000
38439,0.110,-76.101,0.001,0.002,-0.002,-5.430,2.747,1.373,-1413.780,7.212,0.005
38440,0.110,-40.682,0.002,0.000,0.000,-5.634,4.120,5.493,-201.258,4.000,0.008
38441,0.219,-0.110,0.003,-0.001,0.003,-5.532,4.463,2.747,1022.738,0.011,0.017
38442,0.219,56.254,0.001,-0.002,0.002,-5.129,0.000,-8.240,2191.707,-5.036,0.000
38443,0.329,94.085,0.001,-0.004,0.004,-4.448,0.000,1.373,3242.060,-7.304,0.000
38444,0.329,126.872,0.001,-0.005,0.005,-3.525,0.000,1.373,4116.581,-7.804,0.000
38445,0.439,152.532,0.002,-0.005,0.007,-2.409,0.000,2.747,4767.552,-6.414,0.000
38446,0.439,165.471,0.002,-0.006,0.008,-1.163,1.373,0.000,5159.362,-3.360,0.011
38447,0.439,178.411,0.002,-0.006,0.008,0.146,0.000,-1.373,5270.466,0.456,0.000
38448,0.329,187.951,-0.002,-0.006,0.004,1.448,-3.090,-13.733,5094.582,4.750,-0.018
38449,0.219,170.515,0.001,-0.005,0.007,2.671,-1.373,9.613,4641.056,7.949,-0.005
38450,0.110,165.033,-0.003,-0.004,0.002,3.748,-5.493,-16.479,3934.377,10.797,-0.011
38451,-0.110,131.916,-0.002,-0.003,0.002,4.622,-4.120,4.120,3012.866,10.641,0.008
38452,-0.219,87.944,-0.003,-0.002,0.000,5.243,-1.373,-2.747,1926.610,8.047,0.005
38453,-0.439,58.118,-0.003,-0.001,-0.001,5.578,-4.120,-1.373,734.743,5.658,0.032
38454,-0.658,8.553,-0.005,0.001,-0.004,5.609,-1.717,-6.866,-497.762,0.837,0.020
38455,-0.768,-33.226,-0.004,0.002,-0.005,5.334,-1.717,4.120,-1703.636,-3.093,0.023
38456,-0.768,-74.018,-0.004,0.003,-0.006,4.767,-1.373,-1.373,-2816.986,-6.158,0.018
38457,-0.877,-114.152,-0.004,0.004,-0.007,3.940,0.000,1.373,-3776.892,-7.849,-0.000
38458,-0.768,-142.992,-0.005,0.005,-0.009,2.897,0.000,-4.120,-4530.752,-7.230,-0.000
38459,-0.768,-164.594,-0.003,0.006,-0.009,1.696,0.000,6.866,-5037.168,-4.872,-0.000
38460,-0.548,-176.656,-0.004,0.006,-0.010,0.402,0.000,-2.747,-5268.230,-1.240,-0.000
38461,-0.439,-184.113,-0.003,0.006,-0.009,-0.914,1.373,5.493,-5211.065,2.937,-0.011
38462,-0.219,-182.797,-0.002,0.006,-0.008,-2.180,3.090,2.747,-4868.564,6.955,-0.012
38463,-0.110,-162.730,-0.001,0.005,-0.007,-3.327,2.060,2.747,-4259.252,9.448,-0.004
